archivo,carrera,nivel,codigo
malla_matematica_aplicada,MATEMÁTICA APLICADA,1,CSHD111
malla_matematica_aplicada,MATEMÁTICA APLICADA,1,ICOD151
malla_matematica_aplicada,MATEMÁTICA APLICADA,1,MATD115
malla_matematica_aplicada,MATEMÁTICA APLICADA,1,MATD124
malla_matematica_aplicada,MATEMÁTICA APLICADA,1,MATD133
malla_matematica_aplicada,MATEMÁTICA APLICADA,1,MATD141
malla_matematica_aplicada,MATEMÁTICA APLICADA,2,CSHD211
malla_matematica_aplicada,MATEMÁTICA APLICADA,2,FISD244
malla_matematica_aplicada,MATEMÁTICA APLICADA,2,MATD224
malla_matematica_aplicada,MATEMÁTICA APLICADA,2,MATD234
malla_matematica_aplicada,MATEMÁTICA APLICADA,2,MTMD212
malla_matematica_aplicada,MATEMÁTICA APLICADA,3,IMAD333
malla_matematica_aplicada,MATEMÁTICA APLICADA,3,IMAD344
malla_matematica_aplicada,MATEMÁTICA APLICADA,3,MATD314
malla_matematica_aplicada,MATEMÁTICA APLICADA,3,MATD324
malla_matematica_aplicada,MATEMÁTICA APLICADA,4,CSHD300
malla_matematica_aplicada,MATEMÁTICA APLICADA,4,IMAD433
malla_matematica_aplicada,MATEMÁTICA APLICADA,4,IMAD443
malla_matematica_aplicada,MATEMÁTICA APLICADA,4,MTMD414
malla_matematica_aplicada,MATEMÁTICA APLICADA,4,MTMD424
malla_matematica_aplicada,MATEMÁTICA APLICADA,5,ADMD511
malla_matematica_aplicada,MATEMÁTICA APLICADA,5,IMAD534
malla_matematica_aplicada,MATEMÁTICA APLICADA,5,IMAD543
malla_matematica_aplicada,MATEMÁTICA APLICADA,5,MTMD513
malla_matematica_aplicada,MATEMÁTICA APLICADA,5,MTMD524
malla_matematica_aplicada,MATEMÁTICA APLICADA,6,ADMD611
malla_matematica_aplicada,MATEMÁTICA APLICADA,6,IMAD614
malla_matematica_aplicada,MATEMÁTICA APLICADA,6,IMAD623
malla_matematica_aplicada,MATEMÁTICA APLICADA,6,IMAD634
malla_matematica_aplicada,MATEMÁTICA APLICADA,6,IMAD643
malla_matematica_aplicada,MATEMÁTICA APLICADA,7,ADMD711
malla_matematica_aplicada,MATEMÁTICA APLICADA,7,IMAD714
malla_matematica_aplicada,MATEMÁTICA APLICADA,7,IMAD724
malla_matematica_aplicada,MATEMÁTICA APLICADA,7,IMAD733
malla_matematica_aplicada,MATEMÁTICA APLICADA,7,IMAD743
malla_matematica_aplicada,MATEMÁTICA APLICADA,8,IMAD814
malla_matematica_aplicada,MATEMÁTICA APLICADA,8,IMAD824
malla_matematica_aplicada,MATEMÁTICA APLICADA,8,IMAD833
malla_matematica_aplicada,MATEMÁTICA APLICADA,8,IMAD843
malla_matematica_aplicada,MATEMÁTICA APLICADA,8,TITD101
malla_matematica_aplicada,MATEMÁTICA APLICADA,9,CSHD400
malla_matematica_aplicada,MATEMÁTICA APLICADA,9,IMAD714
malla_matematica_aplicada,MATEMÁTICA APLICADA,9,IMAD912
malla_matematica_aplicada,MATEMÁTICA APLICADA,9,MATD314
malla_matematica_aplicada,MATEMÁTICA APLICADA,9,MTMD212
malla_matematica_aplicada,MATEMÁTICA APLICADA,9,PRLD105
malla_matematica_aplicada,MATEMÁTICA APLICADA,9,PSCD202
malla_matematica_aplicada,MATEMÁTICA APLICADA,9,TITD201
