archivo,carrera,nivel,codigo
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,1,CSHD111
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,1,FISD134
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,1,ICOD111
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,1,MATD113
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,1,MATD123
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,1,QUID143
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,2,CSHD211
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,2,IPRD233
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,2,IPRD243
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,2,IPRD252
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,2,MATD213
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,2,MATD223
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,3,CSHD300
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,3,IPRD312
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,3,IPRD333
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,3,IPRD343
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,3,IPRD354
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,3,IPRD362
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,4,CSHD400
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,4,IPRD412
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,4,IPRD422
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,4,IPRD432
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,4,IPRD443
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,4,IPRD453
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,4,IPRD472
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,5,IPRD512
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,5,IPRD522
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,5,IPRD533
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,5,IPRD543
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,5,IPRD553
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,5,IPRD562
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,6,IPRD612
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,6,IPRD622
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,6,IPRD633
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,6,IPRD643
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,6,IPRD653
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,7,IPRD712
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,7,IPRD721
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,7,IPRD732
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,7,IPRD744
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,7,IPRD753
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,7,IPRD761
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,7,IPRD772
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,8,IPRD800
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,8,IPRD823
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,8,IPRD842
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,8,IPRD853
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,8,IPRD864
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,8,TITD101
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,9,IPRD900
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,9,IPRD942
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,9,PRLD105
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,9,PSCD202
malla_produccion,INGENIERÍA DE LA PRODUCCIÓN,9,TITD201
