archivo,carrera,nivel,codigo
malla_mecanica,MECÁNICA,1,CSHD111
malla_mecanica,MECÁNICA,1,FISD134
malla_mecanica,MECÁNICA,1,ICOD111
malla_mecanica,MECÁNICA,1,MATD113
malla_mecanica,MECÁNICA,1,MATD123
malla_mecanica,MECÁNICA,1,QUID143
malla_mecanica,MECÁNICA,2,CSHD211
malla_mecanica,MECÁNICA,2,MATD213
malla_mecanica,MECÁNICA,2,MATD223
malla_mecanica,MECÁNICA,2,MECD213
malla_mecanica,MECÁNICA,2,MECD223
malla_mecanica,MECÁNICA,2,MECD242
malla_mecanica,MECÁNICA,3,MECD312
malla_mecanica,MECÁNICA,3,MECD323
malla_mecanica,MECÁNICA,3,MECD333
malla_mecanica,MECÁNICA,3,MECD343
malla_mecanica,MECÁNICA,3,MECD352
malla_mecanica,MECÁNICA,3,MECD362
malla_mecanica,MECÁNICA,4,CSHD300
malla_mecanica,MECÁNICA,4,MECD413
malla_mecanica,MECÁNICA,4,MECD423
malla_mecanica,MECÁNICA,4,MECD432
malla_mecanica,MECÁNICA,4,MECD443
malla_mecanica,MECÁNICA,4,MECD453
malla_mecanica,MECÁNICA,5,CSHD400
malla_mecanica,MECÁNICA,5,MECD512
malla_mecanica,MECÁNICA,5,MECD523
malla_mecanica,MECÁNICA,5,MECD533
malla_mecanica,MECÁNICA,5,MECD543
malla_mecanica,MECÁNICA,5,MECD553
malla_mecanica,MECÁNICA,6,MECD612
malla_mecanica,MECÁNICA,6,MECD622
malla_mecanica,MECÁNICA,6,MECD633
malla_mecanica,MECÁNICA,6,MECD643
malla_mecanica,MECÁNICA,6,MECD653
malla_mecanica,MECÁNICA,6,MECD662
malla_mecanica,MECÁNICA,7,ADMD511
malla_mecanica,MECÁNICA,7,MECD700
malla_mecanica,MECÁNICA,7,MECD710
malla_mecanica,MECÁNICA,7,MECD733
malla_mecanica,MECÁNICA,7,MECD742
malla_mecanica,MECÁNICA,7,MECD753
malla_mecanica,MECÁNICA,8,ADMD611
malla_mecanica,MECÁNICA,8,ADMD711
malla_mecanica,MECÁNICA,8,MECD800
malla_mecanica,MECÁNICA,8,MECD810
malla_mecanica,MECÁNICA,8,MECD833
malla_mecanica,MECÁNICA,8,MECD843
malla_mecanica,MECÁNICA,8,TITD101
malla_mecanica,MECÁNICA,9,MECD711
malla_mecanica,MECÁNICA,9,MECD712
malla_mecanica,MECÁNICA,9,MECD713
malla_mecanica,MECÁNICA,9,MECD714
malla_mecanica,MECÁNICA,9,MECD715
malla_mecanica,MECÁNICA,9,MECD716
malla_mecanica,MECÁNICA,9,MECD811
malla_mecanica,MECÁNICA,9,MECD812
malla_mecanica,MECÁNICA,9,MECD813
malla_mecanica,MECÁNICA,9,MECD814
malla_mecanica,MECÁNICA,9,MECD815
malla_mecanica,MECÁNICA,9,MECD816
malla_mecanica,MECÁNICA,9,MECD900
malla_mecanica,MECÁNICA,9,PRLD105
malla_mecanica,MECÁNICA,9,PSCD202
malla_mecanica,MECÁNICA,9,TITD201
