archivo,carrera,nivel,codigo
malla_geologia,GEOLOGÍA,1,CSHD111
malla_geologia,GEOLOGÍA,1,FISD134
malla_geologia,GEOLOGÍA,1,ICOD111
malla_geologia,GEOLOGÍA,1,MATD113
malla_geologia,GEOLOGÍA,1,MATD123
malla_geologia,GEOLOGÍA,1,QUID143
malla_geologia,GEOLOGÍA,2,GEOD252
malla_geologia,GEOLOGÍA,2,GEOD263
malla_geologia,GEOLOGÍA,2,MATD213
malla_geologia,GEOLOGÍA,2,MATD223
malla_geologia,GEOLOGÍA,2,PTRD232
malla_geologia,GEOLOGÍA,2,PTRD242
malla_geologia,GEOLOGÍA,3,GEOD322
malla_geologia,GEOLOGÍA,3,GEOD332
malla_geologia,GEOLOGÍA,3,GEOD343
malla_geologia,GEOLOGÍA,3,GEOD353
malla_geologia,GEOLOGÍA,3,GEOD363
malla_geologia,GEOLOGÍA,3,PTRD312
malla_geologia,GEOLOGÍA,4,CSHD211
malla_geologia,GEOLOGÍA,4,GEOD423
malla_geologia,GEOLOGÍA,4,GEOD432
malla_geologia,GEOLOGÍA,4,GEOD443
malla_geologia,GEOLOGÍA,4,GEOD453
malla_geologia,GEOLOGÍA,4,GEOD463
malla_geologia,GEOLOGÍA,5,ADMD511
malla_geologia,GEOLOGÍA,5,GEOD522
malla_geologia,GEOLOGÍA,5,GEOD533
malla_geologia,GEOLOGÍA,5,GEOD543
malla_geologia,GEOLOGÍA,5,GEOD554
malla_geologia,GEOLOGÍA,5,GEOD562
malla_geologia,GEOLOGÍA,6,ADMD611
malla_geologia,GEOLOGÍA,6,GEOD623
malla_geologia,GEOLOGÍA,6,GEOD632
malla_geologia,GEOLOGÍA,6,GEOD643
malla_geologia,GEOLOGÍA,6,GEOD653
malla_geologia,GEOLOGÍA,6,GEOD663
malla_geologia,GEOLOGÍA,7,ADMD711
malla_geologia,GEOLOGÍA,7,GEOD723
malla_geologia,GEOLOGÍA,7,GEOD732
malla_geologia,GEOLOGÍA,7,GEOD742
malla_geologia,GEOLOGÍA,7,GEOD754
malla_geologia,GEOLOGÍA,7,GEOD763
malla_geologia,GEOLOGÍA,8,GEOD800
malla_geologia,GEOLOGÍA,8,GEOD823
malla_geologia,GEOLOGÍA,8,GEOD833
malla_geologia,GEOLOGÍA,8,GEOD843
malla_geologia,GEOLOGÍA,8,GEOD854
malla_geologia,GEOLOGÍA,8,TITD101
malla_geologia,GEOLOGÍA,9,CSHD300
malla_geologia,GEOLOGÍA,9,CSHD400
malla_geologia,GEOLOGÍA,9,GEOD900
malla_geologia,GEOLOGÍA,9,PRLD105
malla_geologia,GEOLOGÍA,9,PSCD202
malla_geologia,GEOLOGÍA,9,TITD201
