archivo,carrera,nivel,codigo
malla_mecatrónica,MECATRÓNICA Aprendizaje,1,CSHD111
malla_mecatrónica,MECATRÓNICA Aprendizaje,1,FISD134
malla_mecatrónica,MECATRÓNICA Aprendizaje,1,ICOD111
malla_mecatrónica,MECATRÓNICA Aprendizaje,1,MATD113
malla_mecatrónica,MECATRÓNICA Aprendizaje,1,MATD123
malla_mecatrónica,MECATRÓNICA Aprendizaje,1,QUID143
malla_mecatrónica,MECATRÓNICA Aprendizaje,2,CSHD211
malla_mecatrónica,MECATRÓNICA Aprendizaje,2,MATD213
malla_mecatrónica,MECATRÓNICA Aprendizaje,2,MATD223
malla_mecatrónica,MECATRÓNICA Aprendizaje,2,MCTD252
malla_mecatrónica,MECATRÓNICA Aprendizaje,2,MECD213
malla_mecatrónica,MECATRÓNICA Aprendizaje,2,MECD223
malla_mecatrónica,MECATRÓNICA Aprendizaje,3,MCTD312
malla_mecatrónica,MECATRÓNICA Aprendizaje,3,MCTD323
malla_mecatrónica,MECATRÓNICA Aprendizaje,3,MCTD332
malla_mecatrónica,MECATRÓNICA Aprendizaje,3,MCTD343
malla_mecatrónica,MECATRÓNICA Aprendizaje,3,MCTD353
malla_mecatrónica,MECATRÓNICA Aprendizaje,3,MCTD362
malla_mecatrónica,MECATRÓNICA Aprendizaje,4,MCTD412
malla_mecatrónica,MECATRÓNICA Aprendizaje,4,MCTD422
malla_mecatrónica,MECATRÓNICA Aprendizaje,4,MCTD442
malla_mecatrónica,MECATRÓNICA Aprendizaje,4,MCTD452
malla_mecatrónica,MECATRÓNICA Aprendizaje,4,MCTD463
malla_mecatrónica,MECATRÓNICA Aprendizaje,4,MCTD472
malla_mecatrónica,MECATRÓNICA Aprendizaje,4,MECD662
malla_mecatrónica,MECATRÓNICA Aprendizaje,5,MCTD511
malla_mecatrónica,MECATRÓNICA Aprendizaje,5,MCTD523
malla_mecatrónica,MECATRÓNICA Aprendizaje,5,MCTD532
malla_mecatrónica,MECATRÓNICA Aprendizaje,5,MCTD543
malla_mecatrónica,MECATRÓNICA Aprendizaje,5,MCTD552
malla_mecatrónica,MECATRÓNICA Aprendizaje,5,MCTD562
malla_mecatrónica,MECATRÓNICA Aprendizaje,5,MCTD572
malla_mecatrónica,MECATRÓNICA Aprendizaje,6,ADMD511
malla_mecatrónica,MECATRÓNICA Aprendizaje,6,CSHD400
malla_mecatrónica,MECATRÓNICA Aprendizaje,6,MCTD612
malla_mecatrónica,MECATRÓNICA Aprendizaje,6,MCTD623
malla_mecatrónica,MECATRÓNICA Aprendizaje,6,MCTD632
malla_mecatrónica,MECATRÓNICA Aprendizaje,6,MCTD642
malla_mecatrónica,MECATRÓNICA Aprendizaje,6,MCTD652
malla_mecatrónica,MECATRÓNICA Aprendizaje,6,MCTD682
malla_mecatrónica,MECATRÓNICA Aprendizaje,7,ADMD711
malla_mecatrónica,MECATRÓNICA Aprendizaje,7,CSHD300
malla_mecatrónica,MECATRÓNICA Aprendizaje,7,MCTD700
malla_mecatrónica,MECATRÓNICA Aprendizaje,7,MCTD710
malla_mecatrónica,MECATRÓNICA Aprendizaje,7,MCTD732
malla_mecatrónica,MECATRÓNICA Aprendizaje,7,MCTD743
malla_mecatrónica,MECATRÓNICA Aprendizaje,7,MCTD752
malla_mecatrónica,MECATRÓNICA Aprendizaje,8,ADMD611
malla_mecatrónica,MECATRÓNICA Aprendizaje,8,MCTD800
malla_mecatrónica,MECATRÓNICA Aprendizaje,8,MCTD810
malla_mecatrónica,MECATRÓNICA Aprendizaje,8,MCTD833
malla_mecatrónica,MECATRÓNICA Aprendizaje,8,MCTD842
malla_mecatrónica,MECATRÓNICA Aprendizaje,8,MCTD852
malla_mecatrónica,MECATRÓNICA Aprendizaje,8,TITD101
malla_mecatrónica,MECATRÓNICA Aprendizaje,9,MCTD900
malla_mecatrónica,MECATRÓNICA Aprendizaje,9,PRLD105
malla_mecatrónica,MECATRÓNICA Aprendizaje,9,PSCD202
malla_mecatrónica,MECATRÓNICA Aprendizaje,9,TITD201
