archivo,carrera,nivel,codigo
malla_petroleos,PETRÓLEOS,1,CSHD111
malla_petroleos,PETRÓLEOS,1,FISD134
malla_petroleos,PETRÓLEOS,1,ICOD111
malla_petroleos,PETRÓLEOS,1,MATD113
malla_petroleos,PETRÓLEOS,1,MATD123
malla_petroleos,PETRÓLEOS,1,QUID143
malla_petroleos,PETRÓLEOS,2,CSHD211
malla_petroleos,PETRÓLEOS,2,MATD213
malla_petroleos,PETRÓLEOS,2,MATD223
malla_petroleos,PETRÓLEOS,2,PTRD232
malla_petroleos,PETRÓLEOS,2,PTRD242
malla_petroleos,PETRÓLEOS,2,PTRD252
malla_petroleos,PETRÓLEOS,2,PTRD272
malla_petroleos,PETRÓLEOS,3,CSHD300
malla_petroleos,PETRÓLEOS,3,PTRD312
malla_petroleos,PETRÓLEOS,3,PTRD323
malla_petroleos,PETRÓLEOS,3,PTRD333
malla_petroleos,PETRÓLEOS,3,PTRD342
malla_petroleos,PETRÓLEOS,3,PTRD352
malla_petroleos,PETRÓLEOS,3,PTRD372
malla_petroleos,PETRÓLEOS,4,CSHD400
malla_petroleos,PETRÓLEOS,4,PTRD413
malla_petroleos,PETRÓLEOS,4,PTRD422
malla_petroleos,PETRÓLEOS,4,PTRD433
malla_petroleos,PETRÓLEOS,4,PTRD442
malla_petroleos,PETRÓLEOS,4,PTRD452
malla_petroleos,PETRÓLEOS,4,PTRD472
malla_petroleos,PETRÓLEOS,5,ADMD511
malla_petroleos,PETRÓLEOS,5,PTRD512
malla_petroleos,PETRÓLEOS,5,PTRD522
malla_petroleos,PETRÓLEOS,5,PTRD533
malla_petroleos,PETRÓLEOS,5,PTRD542
malla_petroleos,PETRÓLEOS,5,PTRD553
malla_petroleos,PETRÓLEOS,5,PTRD562
malla_petroleos,PETRÓLEOS,6,PTRD613
malla_petroleos,PETRÓLEOS,6,PTRD622
malla_petroleos,PETRÓLEOS,6,PTRD633
malla_petroleos,PETRÓLEOS,6,PTRD642
malla_petroleos,PETRÓLEOS,6,PTRD653
malla_petroleos,PETRÓLEOS,6,PTRD662
malla_petroleos,PETRÓLEOS,7,PTRD713
malla_petroleos,PETRÓLEOS,7,PTRD722
malla_petroleos,PETRÓLEOS,7,PTRD733
malla_petroleos,PETRÓLEOS,7,PTRD743
malla_petroleos,PETRÓLEOS,7,PTRD752
malla_petroleos,PETRÓLEOS,7,PTRD762
malla_petroleos,PETRÓLEOS,8,ADMD611
malla_petroleos,PETRÓLEOS,8,PTRD800
malla_petroleos,PETRÓLEOS,8,PTRD823
malla_petroleos,PETRÓLEOS,8,PTRD833
malla_petroleos,PETRÓLEOS,8,PTRD842
malla_petroleos,PETRÓLEOS,8,PTRD863
malla_petroleos,PETRÓLEOS,8,TITD101
malla_petroleos,PETRÓLEOS,9,ADMD711
malla_petroleos,PETRÓLEOS,9,PRLD105
malla_petroleos,PETRÓLEOS,9,PSCD202
malla_petroleos,PETRÓLEOS,9,PTRD900
malla_petroleos,PETRÓLEOS,9,TITD201
