archivo,carrera,nivel,codigo
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,1,CSHD111
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,1,FISD134
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,1,ICOD111
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,1,MATD113
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,1,MATD123
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,1,QUID143
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,2,CSHD211
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,2,IEED232
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,2,IEED242
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,2,IEED252
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,2,IEED272
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,2,MATD213
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,2,MATD223
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,3,CSHD300
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,3,IEED312
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,3,IEED323
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,3,IEED333
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,3,IEED342
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,3,IEED353
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,3,IEED371
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,4,CSHD400
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,4,IEAD423
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,4,IEED413
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,4,IEED433
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,4,IEED452
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,4,IELD443
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,5,ADMD511
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,5,IEAD513
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,5,IEAD522
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,5,IEAD533
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,5,IEAD553
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,5,IELD543
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,6,ADMD611
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,6,IEAD613
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,6,IEAD623
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,6,IEAD633
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,6,IEAD642
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,6,IEAD653
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,7,ADMD711
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,7,IEAD713
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,7,IEAD722
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,7,IEAD733
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,7,IEAD743
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,7,IEAD753
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,8,IEAD800
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,8,IEAD823
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,8,IEAD833
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,8,IEAD842
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,8,IEAD853
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,8,TITD101
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,9,IEAD900
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,9,IELD761
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,9,PRLD105
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,9,PSCD202
malla_electronica_automatizacion,ELECTRÓNICA Y AUTOMATIZACIÓN,9,TITD201
