archivo,carrera,nivel,codigo
malla_matemática,MATEMÁTICA,1,CSHD111
malla_matemática,MATEMÁTICA,1,ICOD151
malla_matemática,MATEMÁTICA,1,MATD115
malla_matemática,MATEMÁTICA,1,MATD124
malla_matemática,MATEMÁTICA,1,MATD133
malla_matemática,MATEMÁTICA,1,MATD141
malla_matemática,MATEMÁTICA,2,CSHD211
malla_matemática,MATEMÁTICA,2,FISD244
malla_matemática,MATEMÁTICA,2,MATD224
malla_matemática,MATEMÁTICA,2,MATD234
malla_matemática,MATEMÁTICA,2,MTMD212
malla_matemática,MATEMÁTICA,3,IMAD344
malla_matemática,MATEMÁTICA,3,MATD314
malla_matemática,MATEMÁTICA,3,MATD324
malla_matemática,MATEMÁTICA,3,MTMD333
malla_matemática,MATEMÁTICA,4,CSHD300
malla_matemática,MATEMÁTICA,4,MTMD414
malla_matemática,MATEMÁTICA,4,MTMD424
malla_matemática,MATEMÁTICA,4,MTMD433
malla_matemática,MATEMÁTICA,4,MTMD443
malla_matemática,MATEMÁTICA,5,ADMD511
malla_matemática,MATEMÁTICA,5,IMAD534
malla_matemática,MATEMÁTICA,5,IMAD543
malla_matemática,MATEMÁTICA,5,MTMD513
malla_matemática,MATEMÁTICA,5,MTMD524
malla_matemática,MATEMÁTICA,6,ADMD611
malla_matemática,MATEMÁTICA,6,IMAD614
malla_matemática,MATEMÁTICA,6,IMAD643
malla_matemática,MATEMÁTICA,6,MTMD624
malla_matemática,MATEMÁTICA,6,MTMD633
malla_matemática,MATEMÁTICA,7,ADMD711
malla_matemática,MATEMÁTICA,7,IMAD623
malla_matemática,MATEMÁTICA,7,IMAD714
malla_matemática,MATEMÁTICA,7,MTMD724
malla_matemática,MATEMÁTICA,7,MTMD733
malla_matemática,MATEMÁTICA,8,IMAD843
malla_matemática,MATEMÁTICA,8,MTMD824
malla_matemática,MATEMÁTICA,8,MTMD834
malla_matemática,MATEMÁTICA,8,MTMD843
malla_matemática,MATEMÁTICA,8,TITD101
malla_matemática,MATEMÁTICA,9,CSHD400
malla_matemática,MATEMÁTICA,9,IMAD344
malla_matemática,MATEMÁTICA,9,MATD133
malla_matemática,MATEMÁTICA,9,MATD314
malla_matemática,MATEMÁTICA,9,MATD324
malla_matemática,MATEMÁTICA,9,MTMD414
malla_matemática,MATEMÁTICA,9,MTMD513
malla_matemática,MATEMÁTICA,9,MTMD624
malla_matemática,MATEMÁTICA,9,MTMD912
malla_matemática,MATEMÁTICA,9,PRLD105
malla_matemática,MATEMÁTICA,9,PSCD202
malla_matemática,MATEMÁTICA,9,TITD201
